able to change to that directory
				1011010715712	
01353830105712	DALE		383010	1353830105712	0135
01374210105712	SYCAMORE		421010	1370270105712	0137
01371400105712	SYCAMORE		140010	1371400105712	0137
01371400275712	SYCAMORE		140027	1371400275712	0137
01373810105712	SYCAMORE		381010	1373810105712	0137
01380540405712	BALL		054040	1380540405712	0138
01381400275712	BALL		140027	1381400275712	0138
01383810105712	BALL		381010	1383810105712	0138
01384740105712	BALL		474010	1384740105712	0138
01400000105712	SOUTH		000010	1400000105712	0140
01400000315712	SOUTH		000031	1400000315712	0140
01400230105712	SOUTH		023010	1400230105712	0140
01400250405712	SOUTH		025040	1400250405712	0140
01401400105712	SOUTH		140010	1401400105712	0140
01401400275712	SOUTH		140027	1401400275712	0140
01403810105712	SOUTH		381010	1403810105712	0140
01410000105712	GILBERT WEST		000010	1410000105712	0141
				1411400275712	
01420000315712	OXFORD		000031	1420000315712	0142
01420250105712	OXFORD		025010	1420250105712	0142
01420250405712	OXFORD		025040	1420250805712	0142
01420280105712	OXFORD		028010	1420280105712	0142
01420540405712	OXFORD		054040	1420540405712	0142
01420660275712	OXFORD		066027	1420660275712	0142
01421400275712	OXFORD		140027	1421400275712	0142
01440000105712	LEXINGTON		000010	1440000105712	0144
01440000315712	LEXINGTON		000031	1440000315712	0144
01440250405712	LEXINGTON		025040	1440250405712	0144
01440270105712	LEXINGTON		027010	1440270105712	0144
01440540105712	LEXINGTON		054010	1440540105712	0144
01441400275712	LEXINGTON		140027	1441400275712	0144
01472570115712	HOPE		257011	1472570115712	0147
01472701105712	HOPE		270110	1472701105712	0147
01531530215712	SPEC. PROG.	WALK-UP COPIER 1	153021	1501530215712	0153
01521520305712	RESEARCH & EVALUATION		152030	1521520305712	0152
01533830105712	SPEC PROG		383010	1533830105712	0153
01533939195712	SPEC PROG		393919	1533939195712	0153
01535905105712	SPEC PROG		590510	1535905105712	0153
				1551560725712	
01561560245712	FACILITIES		156024	1561560245712	0156
01561560725712	FACILITIES		156072	1561560725712	0156
01561560855712	FACILITIES		156085	1561560855712	0156
01571570105712	CURRICULUM IMPLEM.		157010	1571570105712	0157
01571570215712	CURRICULUM IMPLEM.		157021	1571570215712	0157
01573890215712	CURRICULUM IMPLEM.		389021	1573890215712	0157
01610000105712	POLARIS		000010	1610000105712	0161
01610000275712	POLARIS		000027	1610000275712	0161
01610000315712	POLARIS		000031	1610000315712	0161
01611400275712	POLARIS		140027	1611400275712	0161
01620000275712	POLARIS	OPPORTUNITY	000027	1620000275712	0162
01620000315712	POLARIS	OPPORTUNITY	000031	1620000315712	0162
01621400105712	POLARIS	OPPORTUNITY	140010	1621400105712	0162
01621400275712	POLARIS	OPPORTUNITY	140027	1621400275712	0162
				1622510115712	
				1634560215712	
01634563215712	ELD/TRIDENT		456321	1634563215712	0163
				1644640215712	
01680000105712	GILBERT SOUTH		000010	1680000105712	0168
01680000315712	GILBERT SOUTH		000031	1680000315712	0168
01681400275712	GILBERT SOUTH		140027	1681400275712	0168
				1690000275712	
01691499275712	ADULT ED  69		149927	1691499275712	0169
01724130725712	SAFE SCHOOLS		413072	1724130725712	0172
01724538725712	SAFE SCHOOLS		453872	1724538725712	0172
01731730715712	PUBLIC INFO OFFICE	PUBLICATIONS	173071	1731730715712	0173
01805690225712	GASELPA		569022	1805690225712	0180
01820000105712	HOME STUDIES		000010	1820000105712	0182
01190900105712	SYS		090010	1900900105712	0119
				2161160245712	
01723720215712	SAFE SCHOOLS	WALK-UP COPIER	372021	2724538725712	0172
01340250405712	WALKER		025040	10340250405712	0134
				21277305856274	
				0	
				1270990315712	
01210000315712	WESTERN		000031	1041040725712	0121
01041040725712	HR/CERT		104072		0104
				1634560215712	
				1634560215712	
01200110105712	ANAHEIM		011010	1051050725712	0120
01573700215712	CURRICULUM IMPLEM.		370021	1051050725712	0157
01341400275712	WALKER		140027	1250250405712	0134
01071070725712	ACCOUNTING		107072	1192830395712	0107
01721720725712	SAFE SCHOOLS		172072	1472570115712	0172
01551550725712	BUSINESS OPERATIONS		155072		0155
				1192830395712	
				1151150725712	
01724130215712	SAFE SCHOOLS		413021		0172
		 		1011010715712	
01420270105712	OXFORD		027010	1011010715712	0142
01620000105712	POLARIS	OPPORTUNITY	000010		0162
01401180395712	SOUTH		118039	1371400275712	0140
01420320105712	OXFORD		032010	1250250405712	0142
01634561215712	ELD/TRIDENT		456121	1193980105712	0163
01374238105712	SYCAMORE		423810	1151150725712	0137
01634560105712	ELD/TRIDENT		456010	1472570115712	0163
01442610125712	LEXINGTON		261012	1351400275712	0144
01322570115712	ORANGEVIEW		257011	1351400275712	0132
